id,filepath,site,label
ZJ000000,train_features/ZJ000000.jpg,S0120,1
ZJ000001,train_features/ZJ000001.jpg,S0069,6
ZJ000002,train_features/ZJ000002.jpg,S0009,1
ZJ000003,train_features/ZJ000003.jpg,S0008,6
ZJ000004,train_features/ZJ000004.jpg,S0036,5
ZJ000005,train_features/ZJ000005.jpg,S0019,4
ZJ000006,train_features/ZJ000006.jpg,S0060,3
ZJ000007,train_features/ZJ000007.jpg,S0047,0
ZJ000008,train_features/ZJ000008.jpg,S0083,5
ZJ000010,train_features/ZJ000010.jpg,S0076,5
ZJ000011,train_features/ZJ000011.jpg,S0014,5
ZJ000013,train_features/ZJ000013.jpg,S0061,2
ZJ000014,train_features/ZJ000014.jpg,S0075,6
ZJ000015,train_features/ZJ000015.jpg,S0003,2
ZJ000016,train_features/ZJ000016.jpg,S0105,5
ZJ000020,train_features/ZJ000020.jpg,S0105,5
ZJ000021,train_features/ZJ000021.jpg,S0068,6
ZJ000022,train_features/ZJ000022.jpg,S0077,0
ZJ000023,train_features/ZJ000023.jpg,S0038,5
ZJ000024,train_features/ZJ000024.jpg,S0014,6
ZJ000025,train_features/ZJ000025.jpg,S0120,7
ZJ000026,train_features/ZJ000026.jpg,S0049,6
ZJ000027,train_features/ZJ000027.jpg,S0120,6
ZJ000028,train_features/ZJ000028.jpg,S0170,6
ZJ000029,train_features/ZJ000029.jpg,S0061,2
ZJ000030,train_features/ZJ000030.jpg,S0049,0
ZJ000032,train_features/ZJ000032.jpg,S0014,4
ZJ000033,train_features/ZJ000033.jpg,S0071,3
ZJ000035,train_features/ZJ000035.jpg,S0062,7
ZJ000036,train_features/ZJ000036.jpg,S0060,3
ZJ000038,train_features/ZJ000038.jpg,S0070,6
ZJ000040,train_features/ZJ000040.jpg,S0060,3
ZJ000042,train_features/ZJ000042.jpg,S0171,5
ZJ000043,train_features/ZJ000043.jpg,S0134,0
ZJ000045,train_features/ZJ000045.jpg,S0077,2
ZJ000046,train_features/ZJ000046.jpg,S0022,5
ZJ000047,train_features/ZJ000047.jpg,S0089,6
ZJ000048,train_features/ZJ000048.jpg,S0025,6
ZJ000050,train_features/ZJ000050.jpg,S0120,7
ZJ000051,train_features/ZJ000051.jpg,S0042,2
ZJ000052,train_features/ZJ000052.jpg,S0170,4
ZJ000053,train_features/ZJ000053.jpg,S0071,5
ZJ000055,train_features/ZJ000055.jpg,S0021,6
ZJ000056,train_features/ZJ000056.jpg,S0060,3
ZJ000057,train_features/ZJ000057.jpg,S0184,0
ZJ000059,train_features/ZJ000059.jpg,S0026,6
ZJ000060,train_features/ZJ000060.jpg,S0004,1
ZJ000061,train_features/ZJ000061.jpg,S0022,2
ZJ000062,train_features/ZJ000062.jpg,S0120,2
ZJ000063,train_features/ZJ000063.jpg,S0024,5
ZJ000064,train_features/ZJ000064.jpg,S0035,2
ZJ000066,train_features/ZJ000066.jpg,S0019,3
ZJ000067,train_features/ZJ000067.jpg,S0018,0
ZJ000068,train_features/ZJ000068.jpg,S0069,7
ZJ000069,train_features/ZJ000069.jpg,S0060,3
ZJ000070,train_features/ZJ000070.jpg,S0008,2
ZJ000071,train_features/ZJ000071.jpg,S0081,1
ZJ000072,train_features/ZJ000072.jpg,S0014,4
ZJ000073,train_features/ZJ000073.jpg,S0060,3
ZJ000074,train_features/ZJ000074.jpg,S0008,1
ZJ000075,train_features/ZJ000075.jpg,S0060,3
ZJ000076,train_features/ZJ000076.jpg,S0120,7
ZJ000077,train_features/ZJ000077.jpg,S0069,3
ZJ000078,train_features/ZJ000078.jpg,S0125,0
ZJ000079,train_features/ZJ000079.jpg,S0008,1
ZJ000081,train_features/ZJ000081.jpg,S0089,1
ZJ000082,train_features/ZJ000082.jpg,S0110,2
ZJ000083,train_features/ZJ000083.jpg,S0127,3
ZJ000084,train_features/ZJ000084.jpg,S0159,2
ZJ000085,train_features/ZJ000085.jpg,S0051,3
ZJ000086,train_features/ZJ000086.jpg,S0112,5
ZJ000087,train_features/ZJ000087.jpg,S0108,1
ZJ000088,train_features/ZJ000088.jpg,S0074,0
ZJ000089,train_features/ZJ000089.jpg,S0157,6
ZJ000091,train_features/ZJ000091.jpg,S0122,2
ZJ000092,train_features/ZJ000092.jpg,S0089,1
ZJ000094,train_features/ZJ000094.jpg,S0123,0
ZJ000095,train_features/ZJ000095.jpg,S0071,7
ZJ000096,train_features/ZJ000096.jpg,S0014,5
ZJ000097,train_features/ZJ000097.jpg,S0001,5
ZJ000098,train_features/ZJ000098.jpg,S0075,0
ZJ000099,train_features/ZJ000099.jpg,S0023,5
ZJ000100,train_features/ZJ000100.jpg,S0008,2
ZJ000101,train_features/ZJ000101.jpg,S0149,0
ZJ000102,train_features/ZJ000102.jpg,S0185,5
ZJ000103,train_features/ZJ000103.jpg,S0035,6
ZJ000104,train_features/ZJ000104.jpg,S0185,2
ZJ000105,train_features/ZJ000105.jpg,S0069,6
ZJ000106,train_features/ZJ000106.jpg,S0043,5
ZJ000108,train_features/ZJ000108.jpg,S0043,5
ZJ000109,train_features/ZJ000109.jpg,S0159,4
ZJ000110,train_features/ZJ000110.jpg,S0001,2
ZJ000112,train_features/ZJ000112.jpg,S0130,7
ZJ000113,train_features/ZJ000113.jpg,S0060,3
ZJ000116,train_features/ZJ000116.jpg,S0124,3
ZJ000117,train_features/ZJ000117.jpg,S0009,6
ZJ000118,train_features/ZJ000118.jpg,S0130,7
ZJ000119,train_features/ZJ000119.jpg,S0023,5
ZJ000120,train_features/ZJ000120.jpg,S0070,6
